Timestamp,Orientation (x),Orientation (y),Orientation (z),Orientation (w),Angular Velocity (x),Angular Velocity (y),Angular Velocity (z),Linear Acceleration (x),Linear Acceleration (y),Linear Acceleration (z)
1705722455.9039567,0.06399292257294494,-0.24648845364794497,-0.27596692099608605,-0.9268174613130451,-0.014464123174548149,-0.0008449659217149104,-0.0694262757897377,-4.69738535,0.15690640000000106,8.62004535
1705722456.1539814,0.06766379205232008,-0.2457185559002451,-0.26540137206233194,-0.9298419834782845,0.0004753135144710541,0.0004075743490829932,-0.10757363587617874,-4.73661195,0.15690640000000106,8.6102387
1705722456.4040177,0.07034865203368244,-0.2451719907980689,-0.2529884233408076,-0.9332409226671792,0.010426342487335205,0.0012186018284410117,-0.09930821508169174,-4.75622525,0.09806650000000104,8.5906254
1705722456.6530523,0.07117554422581931,-0.24532351410719558,-0.24368346384466463,-0.9356114496835324,0.015669511631131172,0.005908733233809464,-0.055763714015483856,-4.7758385500000005,0.02941995000000105,8.5710121
1705722456.9040892,0.06982709767030405,-0.24475520217812094,-0.24052377187010845,-0.9366789111552929,0.017298460006713867,-0.007719184271991253,0.00010003370698541498,-4.7856452,-0.009806649999998952,8.56120545
1705722457.1541116,0.06752268520205712,-0.24531357766165804,-0.2434152362510625,-0.9359545706703831,0.007371960207819939,0.0007726864423602875,0.045231107622385025,-4.8052585,-0.03922659999999895,8.56120545
1705722457.4041495,0.06538155098115705,-0.2462828886815698,-0.2502407665756648,-0.9340500791058173,0.0015891215298324823,0.0036721385549753982,0.0645599514245987,-4.81506515,-0.029419949999998956,8.5513988
1705722457.6541831,0.06426508164078054,-0.24708265465383575,-0.2577700225936908,-0.9318662868153162,-0.010145365260541439,-0.002106775762513273,0.0556778684258461,-4.81506515,1.0460433486119658e-15,8.54159215
1705722457.9042106,0.06397520568992897,-0.2466234194247921,-0.26304093966854075,-0.930534000510699,-0.01031837984919548,-0.009572925046086308,0.02649696357548237,-4.81506515,0.029419950000001045,8.54159215
1705722458.1542356,0.06483577811586969,-0.2465613759536033,-0.2642543374095787,-0.9301470071575784,-0.0072245607152581215,-0.0002897954545915137,-0.008205382153391838,-4.8248718,0.05883990000000105,8.54159215
1705722458.4042792,0.06615272853600401,-0.24609449281528514,-0.2618724227781056,-0.930851304613983,-0.006654776632785797,0.0012027842458337504,-0.03299228847026825,-4.8248718,0.06864655000000104,8.5317855
1705722458.6533124,0.0673847166187521,-0.24595356477988933,-0.2574012166131477,-0.9320465426277524,0.0064186835661530495,0.0046977410092949815,-0.04160632938146591,-4.83467845,0.06864655000000104,8.5317855
1705722458.904357,0.06798444160159482,-0.24600956634143195,-0.25285992258486123,-0.9332305548571576,0.005456679500639439,-0.01576032862067223,-0.033071428537368774,-4.83467845,0.03922660000000105,8.5317855
1705722459.1543756,0.0678455004394219,-0.24578437500419728,-0.25004491390558514,-0.9340581192323467,0.006337212398648262,0.0019373283721506578,-0.01439452450722456,-4.83467845,0.019613300000001044,8.54159215
1705722459.4044104,0.0673795842823715,-0.246342704953875,-0.24950274103167389,-0.9340897417034536,0.00768775399774313,0.002710406668484212,0.0053472137078642845,-4.8444851,1.04484238035868e-15,8.5317855
1705722459.6544387,0.06670596198307907,-0.2472369365379378,-0.25110931812430676,-0.9334711148173753,0.0020126267336308956,-0.001974149374291298,0.02072853036224842,-4.83467845,1.0436414121053943e-15,8.52197885
1705722459.904486,0.06563406697988167,-0.2472381450636504,-0.2539197861936982,-0.9327862622576044,-2.4215783923864365e-05,-0.0006660311482846707,0.02487877383828163,-4.83467845,1.04484238035868e-15,8.5317855
1705722460.154509,0.06510372469427561,-0.24728970477974113,-0.25661792659711236,-0.9320711060267235,-0.0018757889047265053,0.006166386883705857,0.018624352291226387,-4.8444851,0.009806650000001046,8.5317855
1705722460.4045525,0.06542452857561268,-0.24774083285729606,-0.258150736712136,-0.9315053987663268,-0.005244921892881393,0.002189128659665585,0.0053058164194226265,-4.8444851,0.02941995000000104,8.5121722
1705722460.65358,0.06592577615090327,-0.24775919452477377,-0.2580485026962239,-0.9314935017613237,-0.002160340081900358,-0.000418639276176692,-0.007528388407081366,-4.8444851,0.03922660000000105,8.52197885
1705722460.9036143,0.06655505038253955,-0.2482474287649715,-0.25676144692120473,-0.9316744059783372,0.000257367268204689,-0.0021528601646423357,-0.013674330897629261,-4.8444851,0.03922660000000105,8.52197885
1705722461.154636,0.06669944353824006,-0.2475842964671686,-0.2551249578435404,-0.9322898992587434,0.000765419565141201,-0.00039245164953172375,-0.013782607391476631,-4.85429175,0.03922660000000105,8.52197885
1705722461.4046729,0.06685587867641586,-0.24778001962611446,-0.25379217733899445,-0.9325904160359033,0.0014761255588382483,0.005092423409223556,-0.008234933950006962,-4.85429175,0.029419950000001045,8.52197885
1705722461.6547034,0.0669358638266821,-0.24833635900797282,-0.2532587016721278,-0.9325817245452471,0.001953691244125366,0.0064148553647100925,-0.0006221821531653412,-4.8640984,0.019613300000001044,8.52197885
1705722461.9047334,0.06669294359911973,-0.24840047456582595,-0.25355687032598767,-0.9325010289646052,0.0021093471441417933,0.0008757947944104678,0.004954617936164141,-4.8640984,0.019613300000001044,8.52197885
1705722462.1547618,0.06625152525170094,-0.24810041249937018,-0.254291392813568,-0.9324123595600828,0.0012944734189659357,-0.00046582170762121596,0.006419073790311813,-4.8640984,0.019613300000001044,8.52197885
1705722462.4048023,0.06609942572769317,-0.24855896907897837,-0.2550890432734798,-0.9320830890058489,-0.0003651091828942299,0.002905110130086542,0.006605328526347876,-4.87390505,0.01961330000000104,8.5121722
1705722462.6548228,0.06599616306231001,-0.24887901325635284,-0.25577731472667325,-0.9318163491229424,-0.001911540050059557,0.00027383747510612076,0.005309124942868948,-4.8640984,0.02941995000000104,8.5121722
1705722462.9038537,0.06612460454102598,-0.24927342651784326,-0.2561144527045459,-0.9316091898549506,-0.003020473988726735,0.005005356855690479,0.0005972138606011861,-4.87390505,0.02941995000000104,8.5121722
1705722463.1548786,0.06614231938544922,-0.24872420445007318,-0.25597133069778494,-0.931794044608462,-0.0009287860011681914,-0.0023317201994359498,-0.0036461208947002883,-4.87390505,0.03922660000000105,8.5121722
1705722463.4049227,0.06640789356380314,-0.24938152545640666,-0.255429533492839,-0.9317481418565239,0.0007909550331532955,0.008050769567489624,-0.004874118603765965,-4.8837117,0.03922660000000105,8.50236555
1705722463.6549401,0.0665967996771286,-0.2499052910014304,-0.2547731421647947,-0.9317740379693632,-0.0005908259190618992,0.0009196394821628922,-0.004953988827764988,-4.87390505,0.02941995000000104,8.50236555
1705722463.904973,0.06655169559614002,-0.24999645756063357,-0.25431121577175975,-0.9318789881487308,0.002395508112385869,0.00039659184403717485,-0.002578780986368656,-4.87390505,0.02941995000000104,8.5121722
1705722464.1550026,0.06649934887421219,-0.25006927193444145,-0.25413017286486783,-0.9319125769476215,0.002191724954172969,0.00011281529441475863,-0.00043852953240275383,-4.8837117,0.02941995000000104,8.5121722
1705722464.4050548,0.06637851709289538,-0.250032453073119,-0.25420490050649874,-0.9319106896249597,0.0032886185217648745,-0.009021942503750324,0.0014922565314918767,-4.89351835,0.02941995000000104,8.50236555
1705722464.6550868,0.06420164265322288,-0.2428091972602623,-0.25495615373172215,-0.9337661390737947,0.00023329840041697025,-0.0947767123579979,0.0028024304192513345,-4.89351835,0.02941995000000104,8.50236555
1705722464.90412,0.06078789911396809,-0.23078639048619756,-0.2561134674513865,-0.9367221386717033,-0.0005791385192424059,-0.1054307296872139,0.0030898291151970755,-4.9425516,0.02941995000000104,8.50236555
1705722465.155139,0.05718702900722353,-0.21757729727210143,-0.2572629926115348,-0.9397901446906388,-0.0011981315910816193,-0.13399407267570496,0.0019437556620687411,-4.97197155,0.02941995000000104,8.4925589
1705722465.4051774,0.05308418797840561,-0.20220051943179637,-0.2583464583104992,-0.9431617710693148,-0.0014804434031248093,-0.13576728105545044,0.0005039569223299788,-4.95235825,0.03922660000000105,8.5121722
1705722465.6552105,0.048352380874136874,-0.1846874647465791,-0.2592992406363922,-0.9467399280872619,0.0010583517141640186,-0.15778332948684692,-0.00066413450986145,-4.8837117,0.03922660000000105,8.5513988
1705722465.9052467,0.042986836661517105,-0.16460759931615146,-0.260170788922241,-0.9504565380451586,-0.000914253294467926,-0.18726670742034912,-0.0015384157886728415,-4.7856452,0.039226600000001055,8.629852
1705722466.1552727,0.03671038294213006,-0.14077509877357555,-0.26102309699541876,-0.9543069014653788,-0.003337925300002098,-0.21180357038974762,-0.001972997561097119,-4.6287388,0.03922660000000107,8.73772515
1705722466.4053104,0.029650110967665056,-0.11406526037852027,-0.26182430918156835,-0.9578924879212593,-0.0005836770869791508,-0.22961655259132385,-0.0020002154633402543,-4.4326058,0.03922660000000109,8.89463155
1705722466.6553366,0.021977876248541632,-0.0843767409029479,-0.26262411625019905,-0.9609506293842585,-0.002441319404169917,-0.2579360902309418,-0.0013147707795723956,-4.1776329,0.039226600000001104,9.05153795
1705722466.9043696,0.013771333893891756,-0.05255322934471369,-0.26328054965102415,-0.9631883827287783,-0.0040176608599722385,-0.2514568567276001,-0.0011997751425951411,-3.85401345,0.03922660000000113,9.2574776
1705722467.154397,0.00752959117070655,-0.02802572097174,-0.2636942104484042,-0.9641697089189272,-0.00683191604912281,-0.18875424563884735,-0.0007143606198951371,-3.48136075,0.02941995000000116,9.463417250000001
1705722467.4054356,0.0018594415073625889,-0.005804820760348402,-0.263984573091964,-0.9645076421173004,-0.004281249828636646,-0.18025235831737518,-0.0006844205781817215,-3.0596748,0.02941995000000118,9.6497436
1705722467.655463,-0.00374594914829322,0.016103631022174224,-0.264124429691328,-0.9643468912031139,-0.0024595758877694607,-0.17986233532428741,-0.001454203389584996,-2.6477955,0.029419950000001197,9.79684335
